assessid,stockid,mgmt,assessor,country,region,area,area_code,stocklong,species,comm_name1,comm_name2,shp_source,shp_path,zone_col,zones,notes
NIWA-SMOOTHOREOSLD-1973-2007-CORDUE,SMOOTHOREOSLD,MFish,NIWA,New Zealand,New Zealand,Southland,SLD,Smooth Oreo Southland,Pseudocyttus maculatus,Smooth oreo,NA,Phil Neubauer,new_zealand/qma/QMA_Oreo_region.shp,CODE,"OEO1 (part), OEO3A",
NIWA-SMOOTHOREOWECR-1965-2009-CORDUE,SMOOTHOREOWECR,MFish,NIWA,New Zealand,New Zealand,West end of Chatham Rise,WECR,Smooth oreo West end of Chatham Rise,Pseudocyttus maculatus,Smooth oreo,NA,Phil Neubauer,new_zealand/qma/QMA_Oreo_region.shp,CODE,OEO3A,
NIWA-SOUTHHAKECR-1974-2012-FU,SOUTHHAKECR,MFish,NIWA,New Zealand,New Zealand,Chatham Rise,CR,Southern hake Chatham Rise,Merluccius australis,Southern hake,NA,Phil Neubauer,new_zealand/qma/QMA_Hake_region.shp,CODE,"HAK4, HAK1 (part)",
NIWA-SOUTHHAKESA-1974-2014-FU,SOUTHHAKESA,MFish,NIWA,New Zealand,New Zealand,Sub-Antarctic,SA,Southern hake Sub-Antarctic,Merluccius australis,Southern hake,NA,Phil Neubauer,new_zealand/qma/QMA_Hake_region.shp,CODE,HAK1 (part),
NIWA-SOUTHHAKEWCSI-1973-2012-FU,SOUTHHAKEWCSI,MFish,NIWA,New Zealand,New Zealand,West Coast South Island,WCSI,Southern hake West Coast South Island,Merluccius australis,Southern hake,NA,Phil Neubauer,new_zealand/qma/QMA_Hake_region.shp,CODE,HAK7 (part),
NIWA-TARAKNZ-1932-2007-CORDUE,TARAKNZ,MFish,NIWA,New Zealand,New Zealand,Sub-Antarctic,SA,Tarakihi New Zealand,Nemadactylus macropterus,Hawaiian morwong,Jackass morwong,Phil Neubauer,new_zealand/qma/QMA_Tarakihi_region.shp,CODE,TAR7,
NMFS-MENATLAN-1940-2005-STANTON,MENATLAN,NMFS,NMFS,USA,US East Coast,Atlantic,ATL,Atlantic menhaden Atlantic,Brevoortia tyrannus,Atlantic menhaden,NA,US EEZ East Coast,usa/eez/eez_lr_usa_east_coast.shp,ZONE,US EEZ East Coast,US EEZ East Coast
NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH,ARFLOUNDPCOAST,NMFS,NWFSC,USA,US West Coast,Pacific Coast,PCOAST,Arrowtooth flounder Pacific Coast,Reinhardtius stomias,Arrowtooth flounder,NA,NOAA EFH GIS Data Inventory,usa/noaa_wc_efh/noaa_wc_groundfish_efh_cmf.shp,use whole,use whole,Entire West Coast
NWFSC-BGROCKPCOAST-1950-2011-STACHURA,BGROCKPCOAST,NMFS,NWFSC,USA,US West Coast,Pacific Coast,PCOAST,Blackgill rockfish  Pacific Coast,Sebastes melanostomus,Blackgill rockfish,NA,NOAA EFH GIS Data Inventory,usa/noaa_wc_efh/noaa_wc_groundfish_efh_cmf.shp,use whole,use whole,Clip to Conception/Monterey
NWFSC-BLACKROCKNPCOAST-1914-2006-BRANCH,BLACKROCKNPCOAST,NMFS,NWFSC,USA,US West Coast,Northern Pacific Coast,NPCOAST,Black rockfish Northern Pacific Coast,Sebastes melanops,Black rockfish,NA,NOAA EFH GIS Data Inventory,usa/noaa_wc_efh/noaa_wc_groundfish_efh_cmf.shp,use whole,use whole,Clip to Cape Falcon-North
NWFSC-BLACKROCKSPCOAST-1915-2007-BRANCH,BLACKROCKSPCOAST,NMFS,NWFSC,USA,US West Coast,Southern Pacific Coast,SPCOAST,Black rockfish Southern Pacific Coast,Sebastes melanops,Black rockfish,NA,NOAA EFH GIS Data Inventory,usa/noaa_wc_efh/noaa_wc_groundfish_efh_cmf.shp,use whole,use whole,Clip to Cape Falcon-South
NWFSC-BLUEROCKCAL-1916-2007-BRANCH,BLUEROCKCAL,NMFS,NWFSC,USA,US West Coast,California,CAL,Blue rockfish California,Sebastes mystinus,Blue rockfish,NA,NOAA EFH GIS Data Inventory,usa/noaa_wc_efh/noaa_wc_groundfish_efh_cmf.shp,use whole,use whole,Clip to CA-North
NWFSC-CABEZORECOAST-1973-2009-STACHURA,CABEZORECOAST,NMFS,NWFSC,USA,US West Coast,Oregon Coast,ORECOAST,Cabezon Oregon Coast,Scorpaenichthys marmoratus,Cabezon,NA,NOAA EFH GIS Data Inventory,usa/noaa_wc_efh/noaa_wc_groundfish_efh_cmf.shp,use whole,use whole,Clip to OR
NWFSC-CHILISPCOAST-1892-2007-BRANCH,CHILISPCOAST,NMFS,NWFSC,USA,US West Coast,Southern Pacific Coast,SPCOAST,Chilipepper Southern Pacific Coast,Sebastes goodei,Chilipepper rockfish,Chilipepper,NOAA EFH GIS Data Inventory,usa/noaa_wc_efh/noaa_wc_groundfish_efh_cmf.shp,use whole,use whole,Clip to CA/OR
NWFSC-CROCKPCOAST-1916-2011-STACHURA,CROCKPCOAST,NMFS,NWFSC,USA,US West Coast,Pacific Coast,PCOAST,Canary rockfish Pacific Coast,Sebastes pinniger,Canary rockfish,NA,NOAA EFH GIS Data Inventory,usa/noaa_wc_efh/noaa_wc_groundfish_efh_cmf.shp,use whole,use whole,Entire West Coast
NWFSC-DKROCKPCOAST-1928-2011-STACHURA,DKROCKPCOAST,NMFS,NWFSC,USA,US West Coast,Pacific Coast,PCOAST,Darkblotched rockfish Pacific Coast,Sebastes crameri,Darkblotched rockfish,NA,NOAA EFH GIS Data Inventory,usa/noaa_wc_efh/noaa_wc_groundfish_efh_cmf.shp,use whole,use whole,Entire West Coast
NWFSC-ESOLEPCOAST-1876-2007-BRANCH,ESOLEPCOAST,NMFS,NWFSC,USA,US West Coast,Pacific Coast,PCOAST,English sole Pacific Coast,Parophrys vetulus,English sole,NA,NOAA EFH GIS Data Inventory,usa/noaa_wc_efh/noaa_wc_groundfish_efh_cmf.shp,use whole,use whole,Entire West Coast
NWFSC-KELPGREENLINGORECOAST-1979-2005-STANTON,KELPGREENLINGORECOAST,NMFS,NWFSC,USA,US West Coast,Oregon Coast,ORECOAST,Kelp greenling Oregon Coast,Hexagrammos decagrammus,Kelp greenling,NA,NOAA EFH GIS Data Inventory,usa/noaa_wc_efh/noaa_wc_groundfish_efh_cmf.shp,use whole,use whole,Clip to OR
NWFSC-LINGCODNPCOAST-1928-2009-STACHURA,LINGCODNPCOAST,NMFS,NWFSC,USA,US West Coast,Northern Pacific Coast,NPCOAST,Lingcod Northern Pacific Coast,Ophiodon elongatus,Lingcod,NA,NOAA EFH GIS Data Inventory,usa/noaa_wc_efh/noaa_wc_groundfish_efh_cmf.shp,use whole,use whole,Clip to WA/OR
NWFSC-LINGCODSPCOAST-1928-2009-STACHURA,LINGCODSPCOAST,NMFS,NWFSC,USA,US West Coast,Southern Pacific Coast,SPCOAST,Lingcod Southern Pacific Coast,Ophiodon elongatus,Lingcod,NA,NOAA EFH GIS Data Inventory,usa/noaa_wc_efh/noaa_wc_groundfish_efh_cmf.shp,use whole,use whole,Clip to CA
NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH,LNOSESKAPCOAST,NMFS,NWFSC,USA,US West Coast,Pacific Coast,PCOAST,Longnose skate Pacific Coast,Raja rhina,Longnose skate,NA,NOAA EFH GIS Data Inventory,usa/noaa_wc_efh/noaa_wc_groundfish_efh_cmf.shp,use whole,use whole,Entire West Coast
NWFSC-LSTHORNHPCOAST-1964-2012-HIVELY,LSTHORNHPCOAST,NMFS,NWFSC,USA,US West Coast,Pacific Coast,PCOAST,Longspine thornyhead Pacific Coast,Sebastolobus altivelis,Longspine thornyhead,NA,NOAA EFH GIS Data Inventory,usa/noaa_wc_efh/noaa_wc_groundfish_efh_cmf.shp,use whole,use whole,Entire West Coast
NWFSC-POPERCHPCOAST-1940-2011-STACHURA,POPERCHPCOAST,NMFS,NWFSC,USA,US West Coast,Pacific Coast,PCOAST,Pacific ocean perch Pacific Coast,Sebastes alutus,Pacific ocean perch,NA,NOAA EFH GIS Data Inventory,usa/noaa_wc_efh/noaa_wc_groundfish_efh_cmf.shp,use whole,use whole,Entire West Coast
NWFSC-SABLEFPCOAST-1900-2011-STACHURA,SABLEFPCOAST,NMFS,NWFSC,USA,US West Coast,Pacific Coast,PCOAST,Sablefish Pacific Coast,Anoplopoma fimbria,Sablefish,NA,NOAA EFH GIS Data Inventory,usa/noaa_wc_efh/noaa_wc_groundfish_efh_cmf.shp,use whole,use whole,Entire West Coast
NWFSC-SNROCKPCOAST-1905-2009-STANTON,SNROCKPCOAST,NMFS,NWFSC,USA,US West Coast,Pacific Coast,PCOAST,Splitnose Rockfish Pacific Coast,Sebastes diploproa,Splitnose Rockfish,,NOAA EFH GIS Data Inventory,usa/noaa_wc_efh/noaa_wc_groundfish_efh_cmf.shp,use whole,use whole,Entire West Coast
NWFSC-SPSDOGPCOAST-1916-2011-STACHURA,SPSDOGPCOAST,NMFS,NWFSC,USA,US West Coast,Pacific Coast,PCOAST,Spotted spiny dogfish Pacific Coast,Squalus suckleyi,Spotted spiny dogfish,,NOAA EFH GIS Data Inventory,usa/noaa_wc_efh/noaa_wc_groundfish_efh_cmf.shp,use whole,use whole,Entire West Coast
NWFSC-SSTHORNHPCOAST-1901-2005-STANTON,SSTHORNHPCOAST,NMFS,NWFSC,USA,US West Coast,Pacific Coast,PCOAST,Shortspine thornyhead Pacific Coast,Sebastolobus alascanus,Shortspine thornyhead,NA,NOAA EFH GIS Data Inventory,usa/noaa_wc_efh/noaa_wc_groundfish_efh_cmf.shp,use whole,use whole,Entire West Coast
NWFSC-WROCKPCOAST-1916-2011-STACHURA,WROCKPCOAST,NMFS,NWFSC,USA,US West Coast,Pacific Coast,PCOAST,Widow rockfish Pacific Coast,Sebastes entomelas,Widow rockfish,NA,NOAA EFH GIS Data Inventory,usa/noaa_wc_efh/noaa_wc_groundfish_efh_cmf.shp,use whole,use whole,Entire West Coast
NWFSC-YEYEROCKPCOAST-1916-2011-STACHURA,YEYEROCKPCOAST,NMFS,NWFSC,USA,US West Coast,Pacific Coast,PCOAST,Yelloweye rockfish Pacific Coast,Sebastes ruberrimus,Yelloweye rockfish,NA,NOAA EFH GIS Data Inventory,usa/noaa_wc_efh/noaa_wc_groundfish_efh_cmf.shp,use whole,use whole,Entire West Coast
NWFSC-YTROCKNPCOAST-1967-2005-STANTON,YTROCKNPCOAST,NMFS,NWFSC,USA,US West Coast,Northern Pacific Coast,NPCOAST,Yellowtail rockfish Northern Pacific Coast,Sebastes flavidus,Yellowtail rockfish,NA,NOAA EFH GIS Data Inventory,usa/noaa_wc_efh/noaa_wc_groundfish_efh_cmf.shp,use whole,use whole,Clip to Eureka/Columbia/Vancouver
NWWG-CAPEICE-1977-2010-NEUBAUER,CAPEICE,ICES,NWWG,Europe,Europe non EU,Iceland Grounds,Va,Capelin Iceland,Mallotus villosus,Capelin,NA,ICES website,europe/ices/ices_areas.shp,ICES_area,"Va1, Va2",
NWWG-CODFAPL-1959-2012-CHING,CODFAPL,ICES,NWWG,Europe,Europe non EU,Faroe Plateau,Vb1,Atlantic cod Faroe Plateau,Gadus morhua,Atlantic cod,NA,ICES website,europe/ices/ices_areas.shp,ICES_area,"Vb1a, Vb1b",
NWWG-CODICE-1952-2012-CHING,CODICE,ICES,NWWG,Europe,Europe non EU,Iceland Grounds,Va,Atlantic cod Iceland,Gadus morhua,Atlantic cod,NA,ICES website,europe/ices/ices_areas.shp,ICES_area,"Va1, Va2",
NWWG-HADFAPL-1955-2012-CHING,HADFAPL,ICES,NWWG,Europe,Europe non EU,Faroe Plateau,Vb1,Haddock Faroe Plateau,Melanogrammus aeglefinus,Haddock,NA,ICES website,europe/ices/ices_areas.shp,ICES_area,"Vb1a, Vb1b",
NWWG-HADICE-1977-2012-CHING,HADICE,ICES,NWWG,Europe,Europe non EU,Iceland Grounds,Va,Haddock Iceland,Melanogrammus aeglefinus,Haddock,NA,ICES website,europe/ices/ices_areas.shp,ICES_area,"Va1, Va2",
NWWG-HERRIsum-1984-2011-NEUBAUER,HERRIsum,ICES,NWWG,Europe,Europe non EU,Iceland Grounds,Va,Herring Iceland (Summer spawners),Clupea harengus,Herring,Atlantic herring,ICES website,europe/ices/ices_areas.shp,ICES_area,"Va1, Va2",
NWWG-POLLFAPL-1958-2012-CHING,POLLFAPL,ICES,NWWG,Europe,Europe non EU,Faroe Plateau,Vb1,Pollock Faroe Plateau,Pollachius virens,Pollock,Saithe,ICES website,europe/ices/ices_areas.shp,ICES_area,"Vb1a, Vb1b",
NWWG-POLLIEG-1977-2012-CHING,POLLIEG,ICES,NWWG,Europe,Europe non EU,Iceland Grounds,Va,Pollock or saithe Iceland Grounds,Pollachius virens,Pollock,Saithe,ICES website,europe/ices/ices_areas.shp,ICES_area,"Va1, Va2",
NZMFishDEEPWATER-BLACKOREOWECR-1973-2007-JENSEN,BLACKOREOWECR,MFish,NZMFishDEEPWATER,New Zealand,New Zealand,West end of Chatham Rise,WECR,Black oreo West end of Chatham Rise,Allocyttus niger,Black oreo,NA,Phil Neubauer,new_zealand/qma/QMA_Oreo_region.shp,CODE,OEO3A,
NZMFishINSHOREWG-BNSNZ-1935-2011-CORDUE,BNSNZ,MFish,NZMFishINSHOREWG,New Zealand,New Zealand,New Zealand,NZ,Bluenose New Zealand,Hyperoglyphe antarctica,Bluenose,,Phil Neubauer,new_zealand/qma/QMA_Bluenose_region.shp,CODE,"BNS1, BNS2, BNS3, BNS7, BNS8, BNS10",
NZMFishINSHOREWG-NZSNAPNZ7-1931-2014-LANGLEY,NZSNAPNZ7,MFish,NZMFishINSHOREWG,New Zealand,New Zealand,New Zealand SNA 7,SNA-7,New Zealand snapper New Zealand SNA 7,Chrysophrys auratus,New Zealand snapper,Snapper,Phil Neubauer,new_zealand/qma/QMA_Snapper_region.shp,CODE,SNA7,
NZMFishINSHOREWG-NZSNAPNZ8-1931-2005-JENSEN,NZSNAPNZ8,MFish,NZMFishINSHOREWG,New Zealand,New Zealand,New Zealand Area 8 (Auckland and Central West),8,New Zealand snapper New Zealand Area 8,Chrysophrys auratus,New Zealand snapper,Snapper,Phil Neubauer,new_zealand/qma/QMA_Snapper_region.shp,CODE,SNA8,
NZMFishINSHOREWG-TREVALLYTRE7-1944-2014-LANGLEY,TREVALLYTRE7,MFish,NZMFishINSHOREWG,New Zealand,New Zealand,New Zealand Areas TRE 7,TRE7,Trevally New Zealand Areas TRE 7,Pseudocaranx dentex,Trevally,White trevally,Phil Neubauer,new_zealand/qma/QMA_Trevally_region.shp,CODE,TRE7,
NZMFishLOBSTERWG-RROCKLOBSTERCRA1-1945-2001-JENSEN,RROCKLOBSTERCRA1,MFish,NZMFishLOBSTERWG,New Zealand,New Zealand,New Zealand Area CRA1,CRA1,Red rock lobster New Zealand area CRA1,Jasus edwardsii,Red rock lobster,NA,Phil Neubauer,new_zealand/qma/QMA_Spiny_rock_lobster_region.shp,CODE,CRA1,
NZMFishLOBSTERWG-RROCKLOBSTERCRA2-1945-2001-JENSEN,RROCKLOBSTERCRA2,MFish,NZMFishLOBSTERWG,New Zealand,New Zealand,New Zealand Area CRA2,CRA2,Red rock lobster New Zealand area CRA2,Jasus edwardsii,Red rock lobster,NA,Phil Neubauer,new_zealand/qma/QMA_Spiny_rock_lobster_region.shp,CODE,CRA2,
